transaction_id,customer_name,product_name,category,price,quantity,payment_method,transaction_date,shipping_city,rating
TRX00305,Ophelia Hartati,Quo Basic,Buku,50000.0,4,Kartu Kredit,2026-07-13,Blitar,1.0
TRX00500,Cut Maya Wijayanti,Delectus,Elektronik,500000.0,1,E-Wallet,2026-07-09,Lubuklinggau,
TRX00442,"Dr. Ridwan Utama, M.Pd",Animi Max,Elektronik,25000.0,1,COD,2026-08-25,Probolinggo,2.0
TRX00154,"Viman Suwarno, S.H.",Consectetur,Fashion,250000.0,1,COD,2026-07-27,Tual,4.0
TRX00132,Ir. Ilyas Setiawan,Ducimus Pro,Rumah Tangga,250000.0,4,COD,2026-09-15,Subulussalam,2.0
TRX00205,Agnes Najmudin,Dicta Pro,Rumah Tangga,120000.0,1,E-Wallet,2026-08-07,Batam,2.0
TRX00010,"dr. Elisa Uwais, S.I.Kom",Eos Max,Fashion,1200000.0,4,COD,2026-08-17,Tidak Diketahui,5.0
TRX00326,Julia Halimah,Consequuntur Pro,Kesehatan,150000.0,4,E-Wallet,2026-08-18,Ambon,4.0
TRX00248,R.M. Radika Fujiati,Consectetur Lite,Fashion,1200000.0,2,Transfer Bank,2026-09-11,Palopo,
TRX00466,"Cakrabirawa Hidayat, M.TI.",Recusandae Pro,Fashion,50000.0,2,E-Wallet,2026-06-18,Palembang,2.0
TRX00354,Jelita Mangunsong,Harum Basic,Kesehatan,500000.0,1,E-Wallet,2026-07-04,Bandung,
TRX00290,R. Ella Wahyuni,Soluta Lite,Kesehatan,15000.0,3,COD,2026-08-21,Salatiga,
TRX00085,Danang Andriani,Molestias Lite,Elektronik,150000.0,2,COD,2026-09-07,Tidak Diketahui,3.0
TRX00011,"Cawisono Nasyidah, S.H.",Dolorem Max,Buku,500000.0,5,E-Wallet,2026-07-29,Subulussalam,4.0
TRX00325,Mulyono Nuraini,Et,Fashion,50000.0,1,E-Wallet,2026-08-14,Bengkulu,
TRX00079,Dr. Legawa Simanjuntak,Numquam Max,Rumah Tangga,25000.0,1,Transfer Bank,2026-08-12,Purwokerto,2.0
TRX00031,Gabriella Namaga,Delectus Max,Fashion,120000.0,4,COD,2026-08-22,Kota Administrasi Jakarta Barat,1.0
TRX00185,Rahmat Pradipta,Iure Lite,Kesehatan,75000.0,1,E-Wallet,2026-08-26,Kota Administrasi Jakarta Utara,5.0
TRX00196,Ghaliyati Zulkarnain,Labore Pro,Kesehatan,500000.0,5,E-Wallet,2026-08-31,Padangpanjang,
TRX00223,"Ir. Bahuraksa Nugroho, M.Kom.",Officiis Lite,Rumah Tangga,1200000.0,1,E-Wallet,2026-08-24,Tangerang Selatan,2.0
TRX00210,Gasti Mulyani,Cum Max,Buku,750000.0,4,COD,2026-07-19,Kotamobagu,
TRX00282,"R.M. Dasa Lailasari, S.Ked",Magni,Rumah Tangga,500000.0,1,COD,2026-08-06,Pangkalpinang,1.0
TRX00209,Empluk Handayani,Ut Max,Buku,120000.0,5,E-Wallet,2026-07-26,Padangpanjang,3.0
TRX00251,"Gandewa Maulana, S.E.I",Amet,Kesehatan,15000.0,5,Transfer Bank,2026-07-13,Tanjungpinang,2.0
TRX00077,"Puti Victoria Anggraini, S.H.",Dolorum,Fashion,120000.0,1,COD,2026-08-29,Banjarbaru,
TRX00383,T. Rahman Thamrin,Fugiat Max,Kesehatan,120000.0,2,E-Wallet,2026-08-28,Medan,
TRX00343,Paris Tarihoran,Autem Pro,Fashion,500000.0,3,E-Wallet,2026-09-08,Banjarmasin,
TRX00324,"Humaira Mandala, S.IP",Sint Max,Buku,750000.0,4,Kartu Kredit,2026-08-23,Kota Administrasi Jakarta Barat,
TRX00245,Dr. Hari Marpaung,Eligendi Basic,Kesehatan,750000.0,3,Transfer Bank,2026-08-29,Kota Administrasi Jakarta Pusat,2.0
TRX00332,"Drs. Nadia Saputra, S.Kom",Culpa,Elektronik,75000.0,3,E-Wallet,2026-07-17,Sukabumi,1.0
TRX00141,"Puti Malika Lazuardi, S.E.I",Praesentium,Buku,750000.0,5,Kartu Kredit,2026-09-09,Pekanbaru,1.0
TRX00073,Edi Mulyani,Ut Pro,Elektronik,120000.0,2,E-Wallet,2026-08-13,Bekasi,4.0
TRX00401,Erik Zulkarnain,Molestias Lite,Rumah Tangga,25000.0,5,Transfer Bank,2026-08-27,Samarinda,5.0
TRX00488,"Cut Hesti Gunawan, M.Kom.",Maiores Lite,Buku,75000.0,3,Transfer Bank,2026-07-22,Cirebon,3.0
TRX00226,Garan Mayasari,Aut Lite,Olahraga,500000.0,2,Kartu Kredit,2026-07-15,Bandung,5.0
TRX00178,Tirta Nasyiah,Deleniti,Rumah Tangga,120000.0,1,Kartu Kredit,2026-07-22,Surakarta,
TRX00404,Violet Hutagalung,Magni Basic,Fashion,25000.0,5,Transfer Bank,2026-07-10,Tebingtinggi,4.0
TRX00056,Artanto Samosir,Maiores Lite,Kesehatan,250000.0,3,E-Wallet,2026-09-06,Manado,
TRX00406,Warta Widodo,Iusto Max,Rumah Tangga,25000.0,1,E-Wallet,2026-09-01,Magelang,3.0
TRX00299,dr. Fitriani Manullang,Praesentium Pro,Buku,1200000.0,3,Kartu Kredit,2026-09-15,Payakumbuh,2.0
TRX00078,Sutan Vero Maheswara,Odit Basic,Elektronik,150000.0,5,Kartu Kredit,2026-06-30,Surakarta,1.0
TRX00469,"Kiandra Tampubolon, S.Farm",Ipsam Max,Rumah Tangga,25000.0,2,E-Wallet,2026-08-28,Kota Administrasi Jakarta Utara,
TRX00318,Tgk. Kenes Thamrin,Veritatis Basic,Kesehatan,25000.0,3,Kartu Kredit,2026-08-26,Singkawang,
TRX00476,Gasti Gunarto,Assumenda Max,Olahraga,5000000.0,5,COD,2026-09-11,Pekalongan,2.0
TRX00091,Asirwanda Rajata,Modi Basic,Olahraga,15000.0,5,Transfer Bank,2026-07-17,Madiun,
TRX00239,Cahyo Mangunsong,Autem Lite,Kesehatan,50000.0,4,Kartu Kredit,2026-07-14,Pekalongan,2.0
TRX00486,Amelia Mandasari,Reiciendis Pro,Olahraga,1200000.0,5,Kartu Kredit,2026-07-03,Kota Administrasi Jakarta Pusat,
TRX00064,Lembah Fujiati,Laborum Lite,Rumah Tangga,25000.0,5,COD,2026-08-22,Palangkaraya,5.0
TRX00458,Wisnu Manullang,Nulla,Buku,50000.0,5,E-Wallet,2026-07-29,Dumai,
TRX00071,Fathonah Astuti,Repellendus Lite,Kesehatan,1200000.0,3,COD,2026-08-11,Pangkalpinang,2.0
TRX00003,Johan Suartini,Alias,Rumah Tangga,750000.0,4,E-Wallet,2026-08-07,Jayapura,2.0
TRX00288,T. Slamet Hutapea,Explicabo,Elektronik,250000.0,1,E-Wallet,2026-07-05,Blitar,5.0
