transaction_id,customer_name,product_name,category,price,quantity,payment_method,transaction_date,shipping_city,rating
TRX00305,Ophelia Hartati,Quo Basic,Buku,50000,4,kartu kredit,2026-07-13,Blitar,1.0
TRX00500,Cut Maya Wijayanti,Delectus,Elektronik,Rp500.000,1,E-Wallet,2026-07-09,Lubuklinggau,
TRX00442,"Dr. Ridwan Utama, M.Pd",Animi Max,Elektronik,25000,1,COD,2026-08-25,Probolinggo,2.0
TRX00154,"Viman Suwarno, S.H.",Consectetur,Fashion,Rp250.000,1,COD,27/07/2026,Tual,4.0
TRX00074,,Eius,Olahraga,250000.0,4,,01/07/2026,,1.0
TRX00132,Ir. Ilyas Setiawan,Ducimus Pro,Rumah Tangga,250000,4,COD,15/09/2026,Subulussalam,2.0
TRX00205,Agnes Najmudin,Dicta Pro,Rumah Tangga, 120000 ,1,E-Wallet,07/08/2026,Batam,2.0
TRX00010,"dr. Elisa Uwais, S.I.Kom",Eos Max,Fashion, 1200000 ,4,cod,2026-08-17,,5.0
TRX00326,Julia Halimah,Consequuntur Pro,Kesehatan,15000.0,4,E-Wallet,2026-08-18,Ambon,4.0
TRX00248,R.M. Radika Fujiati,Consectetur Lite,FASHION  ,1200000,2,Transfer Bank,11-09-2026,Palopo,
TRX00466,"Cakrabirawa Hidayat, M.TI.",Recusandae Pro,Fashion,50000,2,e-wallet,18-06-2026,Palembang,2.0
TRX00354,Jelita Mangunsong,Harum Basic,KESEHATAN  , 500000 ,1,e-wallet,04-07-2026,Bandung,
TRX00290,R. Ella Wahyuni,Soluta Lite,Kesehatan,Rp15.000,3,cod,21-08-2026,Salatiga,
TRX00085,Danang Andriani,Molestias Lite,Elektronik,15000.0,2,COD,07-09-2026,,3.0
TRX00011,"Cawisono Nasyidah, S.H.",Dolorem Max,BUKU  , 500000 ,5,E-Wallet,29/07/2026,Subulussalam,4.0
TRX00325,Mulyono Nuraini,Et,Fashion, 50000 ,1,E-Wallet,2026-08-14,Bengkulu,
TRX00079,Dr. Legawa Simanjuntak,Numquam Max,Rumah Tangga, 25000 ,1,Transfer Bank,12/08/2026,Purwokerto,2.0
TRX00031,Gabriella Namaga,Delectus Max,Fashion,Rp120.000,4,COD,22-08-2026,Kota Administrasi Jakarta Barat,1.0
TRX00185,Rahmat Pradipta,Iure Lite,KESEHATAN  ,Rp75.000,1,E-Wallet,2026-08-26,Kota Administrasi Jakarta Utara,5.0
TRX00196,Ghaliyati Zulkarnain,Labore Pro,Kesehatan, 500000 ,5,E-Wallet,2026-08-31,Padangpanjang,
TRX00223,"Ir. Bahuraksa Nugroho, M.Kom.",Officiis Lite,RUMAH TANGGA  ,120000.0,1,e-wallet,24/08/2026,Tangerang Selatan,2.0
TRX00210,Gasti Mulyani,Cum Max,Buku,75000.0,4,COD,19/07/2026,Kotamobagu,
TRX00282,"R.M. Dasa Lailasari, S.Ked",Magni,Rumah Tangga,Rp500.000,1,COD,2026-08-06,Pangkalpinang,1.0
TRX00209,Empluk Handayani,Ut Max,Buku, 120000 ,5,e-wallet,2026-07-26,Padangpanjang,3.0
TRX00125,,Sunt Basic,Kesehatan,Rp25.000,4,,10-08-2026,,
TRX00251,"Gandewa Maulana, S.E.I",Amet,Kesehatan, 15000 ,5,Transfer Bank,2026-07-13,Tanjungpinang,2.0
TRX00077,"Puti Victoria Anggraini, S.H.",Dolorum,FASHION  ,120000,1,COD,29-08-2026,Banjarbaru,
TRX00383,T. Rahman Thamrin,Fugiat Max,Kesehatan,Rp120.000,2,E-Wallet,28-08-2026,Medan,
TRX00343,Paris Tarihoran,Autem Pro,Fashion,Rp500.000,3,E-Wallet,2026-09-08,Banjarmasin,
TRX00324,"Humaira Mandala, S.IP",Sint Max,Buku,75000.0,4,Kartu Kredit,23-08-2026,Kota Administrasi Jakarta Barat,
TRX00245,Dr. Hari Marpaung,Eligendi Basic,Kesehatan,75000.0,3,Transfer Bank,29/08/2026,Kota Administrasi Jakarta Pusat,2.0
TRX00332,"Drs. Nadia Saputra, S.Kom",Culpa,Elektronik,Rp75.000,3,E-Wallet,2026-07-17,Sukabumi,1.0
TRX00141,"Puti Malika Lazuardi, S.E.I",Praesentium,BUKU  ,75000.0,5,Kartu Kredit,2026-09-09,Pekanbaru,1.0
TRX00010,"dr. Elisa Uwais, S.I.Kom",Eos Max,Fashion, 1200000 ,4,cod,2026-08-17,,5.0
TRX00073,Edi Mulyani,Ut Pro,Elektronik, 120000 ,2,E-Wallet,13-08-2026,Bekasi,4.0
TRX00401,Erik Zulkarnain,Molestias Lite,Rumah Tangga,25000,5,Transfer Bank,27/08/2026,Samarinda,5.0
TRX00488,"Cut Hesti Gunawan, M.Kom.",Maiores Lite,Buku, 75000 ,3,Transfer Bank,22/07/2026,Cirebon,3.0
TRX00226,Garan Mayasari,Aut Lite,Olahraga,50000.0,2,kartu kredit,15-07-2026,Bandung,5.0
TRX00074,,Eius,Olahraga,250000.0,4,,01/07/2026,,1.0
TRX00178,Tirta Nasyiah,Deleniti,Rumah Tangga,120000,1,Kartu Kredit,22-07-2026,Surakarta,
TRX00404,Violet Hutagalung,Magni Basic,Fashion,25000,5,Transfer Bank,10-07-2026,Tebingtinggi,4.0
TRX00069,,Earum,Olahraga, 1200000 ,4,COD,25-07-2026,,1.0
TRX00156,,Impedit,Elektronik,500000.0,5,,2026-07-20,,3.0
TRX00056,Artanto Samosir,Maiores Lite,Kesehatan,250000,3,e-wallet,2026-09-06,Manado,
TRX00406,Warta Widodo,Iusto Max,RUMAH TANGGA  ,25000,1,E-Wallet,2026-09-01,Magelang,3.0
TRX00299,dr. Fitriani Manullang,Praesentium Pro,Buku,1200000,3,kartu kredit,15-09-2026,Payakumbuh,2.0
TRX00078,Sutan Vero Maheswara,Odit Basic,ELEKTRONIK  ,15000.0,5,Kartu Kredit,30/06/2026,Surakarta,1.0
TRX00469,"Kiandra Tampubolon, S.Farm",Ipsam Max,Rumah Tangga, 25000 ,2,e-wallet,28/08/2026,Kota Administrasi Jakarta Utara,
TRX00318,Tgk. Kenes Thamrin,Veritatis Basic,KESEHATAN  ,25000,3,Kartu Kredit,26/08/2026,Singkawang,
TRX00476,Gasti Gunarto,Assumenda Max,Olahraga,500000.0,5,COD,11-09-2026,Pekalongan,2.0
TRX00091,Asirwanda Rajata,Modi Basic,Olahraga, 15000 ,5,transfer bank,17/07/2026,Madiun,
TRX00239,Cahyo Mangunsong,Autem Lite,Kesehatan,50000,4,Kartu Kredit,14-07-2026,Pekalongan,2.0
TRX00486,Amelia Mandasari,Reiciendis Pro,Olahraga,120000.0,5,Kartu Kredit,03-07-2026,Kota Administrasi Jakarta Pusat,
TRX00064,Lembah Fujiati,Laborum Lite,RUMAH TANGGA  ,Rp25.000,5,COD,22/08/2026,Palangkaraya,5.0
TRX00458,Wisnu Manullang,Nulla,Buku,Rp50.000,5,e-wallet,29/07/2026,Dumai,
TRX00071,Fathonah Astuti,Repellendus Lite,Kesehatan,120000.0,3,COD,11-08-2026,Pangkalpinang,2.0
TRX00003,Johan Suartini,Alias,Rumah Tangga,75000.0,4,E-Wallet,2026-08-07,Jayapura,2.0
TRX00288,T. Slamet Hutapea,Explicabo,Elektronik, 250000 ,1,E-Wallet,2026-07-05,Blitar,5.0
TRX00342,KH. Mulya Pratama,Expedita Pro,Rumah Tangga,Rp250.000,5,transfer bank,2026-08-18,Pontianak,5.0
TRX00138,Vanya Habibi,Enim Basic,RUMAH TANGGA  ,1200000.0,4,Transfer Bank,2026-07-12,Kotamobagu,
TRX00250,Cindy Wahyudin,Et Pro,Olahraga,1200000,4,kartu kredit,2026-06-20,Tasikmalaya,3.0
TRX00195,Simon Yolanda,Totam Lite,Kesehatan,Rp25.000,3,transfer bank,04/09/2026,,1.0
TRX00173,Paulin Maheswara,Odit Lite,Elektronik, 250000 ,3,kartu kredit,21-07-2026,Sawahlunto,2.0
