transaction_id,customer_name,product_name,category,price,quantity,payment_method,transaction_date,shipping_city,rating
TRX00490,"Baktiadi Napitupulu, S.H.",Aspernatur Basic,Rumah Tangga,120000.0,2,Transfer Bank,2026-09-12,Bau-Bau,1.0
TRX00430,Faizah Kusumo,Voluptates Max,Olahraga,250000.0,3,Transfer Bank,2026-07-15,Cilegon,4.0
TRX00083,"Drs. Sari Aryani, M.TI.",Deserunt Basic,Olahraga,75000.0,5,Kartu Kredit,2026-09-07,Tangerang Selatan,1.0
TRX00121,"Ilsa Mahendra, S.T.",Quia Pro,Elektronik,500000.0,1,Transfer Bank,2026-08-14,Bengkulu,4.0
TRX00148,Cahyanto Agustina,Officia Basic,Buku,15000.0,5,Transfer Bank,2026-08-12,Tidore Kepulauan,4.0
TRX00386,Karja Melani,Corrupti Basic,Buku,500000.0,2,E-Wallet,2026-06-20,Cimahi,3.0
TRX00201,"Safina Hartati, S.E.",Et Max,Olahraga,15000.0,4,Transfer Bank,2026-09-15,Kediri,1.0
TRX00482,Niyaga Sirait,Velit Pro,Fashion,50000.0,3,E-Wallet,2026-07-17,Pekalongan,
TRX00296,R. Kayun Puspasari,Placeat Max,Kesehatan,75000.0,3,COD,2026-08-28,Tomohon,1.0
TRX00262,Kayun Rahimah,Ab,Kesehatan,500000.0,2,E-Wallet,2026-07-02,Pangkalpinang,
TRX00434,Fitriani Palastri,Iste,Buku,75000.0,5,E-Wallet,2026-06-18,Sukabumi,
TRX00475,Iriana Ardianto,Iusto,Elektronik,25000.0,3,Transfer Bank,2026-08-09,Kediri,5.0
TRX00460,Dr. Vicky Iswahyudi,Deserunt Pro,Elektronik,15000.0,5,Transfer Bank,2026-07-21,Padang,5.0
TRX00458,"Bagya Farida, S.E.I",Provident,Rumah Tangga,120000.0,1,Transfer Bank,2026-08-06,Sorong,
TRX00356,Kajen Mustofa,Impedit Lite,Buku,150000.0,2,Kartu Kredit,2026-09-08,Kota Administrasi Jakarta Utara,
TRX00467,Ayu Prastuti,Nulla Max,Buku,500000.0,3,Transfer Bank,2026-06-28,Pasuruan,4.0
TRX00116,Septi Hassanah,Non Pro,Rumah Tangga,500000.0,4,E-Wallet,2026-09-11,Blitar,2.0
TRX00404,Rini Uwais,Quibusdam Basic,Elektronik,25000.0,2,E-Wallet,2026-07-10,Blitar,2.0
TRX00275,"Mursinin Riyanti, S.Pt",Error Lite,Fashion,250000.0,2,COD,2026-06-21,Sorong,2.0
TRX00337,Tania Prasasta,Iste Basic,Elektronik,120000.0,5,COD,2026-08-27,Samarinda,3.0
TRX00498,"dr. Lintang Situmorang, M.Pd",Vero Basic,Fashion,120000.0,2,Kartu Kredit,2026-08-09,Tidak Diketahui,5.0
TRX00133,Mila Sihotang,Culpa Max,Elektronik,150000.0,5,Kartu Kredit,2026-09-15,Tidak Diketahui,4.0
TRX00376,"Bagas Novitasari, S.H.",Consequuntur Basic,Olahraga,50000.0,4,E-Wallet,2026-07-24,Sungai Penuh,1.0
TRX00260,Eman Andriani,Eveniet Lite,Olahraga,75000.0,4,E-Wallet,2026-08-31,Payakumbuh,1.0
TRX00269,Yunita Lailasari,Necessitatibus Max,Olahraga,75000.0,4,COD,2026-07-18,Pekalongan,3.0
TRX00279,Drs. Azalea Lazuardi,Nihil Lite,Buku,15000.0,4,E-Wallet,2026-08-08,Palopo,2.0
TRX00497,Ajiman Mangunsong,Eos Max,Fashion,75000.0,1,COD,2026-06-30,Manado,5.0
TRX00302,"Dr. Sabri Maryadi, S.H.",Aperiam Max,Olahraga,75000.0,4,COD,2026-09-09,Medan,5.0
TRX00147,Puti Fathonah Kuswoyo,Nihil Max,Kesehatan,1200000.0,3,Transfer Bank,2026-08-01,Cirebon,3.0
TRX00026,Warta Utama,Sint Pro,Rumah Tangga,250000.0,1,E-Wallet,2026-06-20,Singkawang,
TRX00485,Puti Dinda Sihombing,Inventore Pro,Rumah Tangga,25000.0,4,E-Wallet,2026-07-10,Batu,2.0
TRX00314,Wakiman Napitupulu,Veritatis Max,Olahraga,250000.0,5,E-Wallet,2026-08-24,Tual,4.0
TRX00247,Gadang Wacana,Qui Lite,Rumah Tangga,25000.0,1,Transfer Bank,2026-09-13,Pangkalpinang,5.0
