transaction_id,customer_name,product_name,category,price,quantity,payment_method,transaction_date,shipping_city,rating
TRX00490,"Baktiadi Napitupulu, S.H.",Aspernatur Basic,Rumah Tangga,120000,2,Transfer Bank,12-09-2026,Bau-Bau,1.0
TRX00430,Faizah Kusumo,Voluptates Max,Olahraga,Rp250.000,3,Transfer Bank,2026-07-15,Cilegon,4.0
TRX00083,"Drs. Sari Aryani, M.TI.",Deserunt Basic,Olahraga,Rp75.000,5,Kartu Kredit,2026-09-07,Tangerang Selatan,1.0
TRX00121,"Ilsa Mahendra, S.T.",Quia Pro,Elektronik,50000.0,1,transfer bank,14-08-2026,Bengkulu,4.0
TRX00222,,Magnam,FASHION  ,50000,2,Kartu Kredit,2026-06-26,,2.0
TRX00148,Cahyanto Agustina,Officia Basic,Buku,Rp15.000,5,Transfer Bank,12-08-2026,Tidore Kepulauan,4.0
TRX00033,,Excepturi Max,Buku,1200000,1,,2026-08-30,,5.0
TRX00386,Karja Melani,Corrupti Basic,Buku,500000,2,e-wallet,20-06-2026,Cimahi,3.0
TRX00201,"Safina Hartati, S.E.",Et Max,Olahraga, 15000 ,4,Transfer Bank,15-09-2026,Kediri,1.0
TRX00482,Niyaga Sirait,Velit Pro,Fashion, 50000 ,3,E-Wallet,2026-07-17,Pekalongan,
TRX00296,R. Kayun Puspasari,Placeat Max,Kesehatan,Rp75.000,3,COD,28-08-2026,Tomohon,1.0
TRX00262,Kayun Rahimah,Ab,Kesehatan,50000.0,2,e-wallet,02/07/2026,Pangkalpinang,
TRX00434,Fitriani Palastri,Iste,Buku, 75000 ,5,E-Wallet,18/06/2026,Sukabumi,
TRX00475,Iriana Ardianto,Iusto,Elektronik,25000,3,Transfer Bank,2026-08-09,Kediri,5.0
TRX00460,Dr. Vicky Iswahyudi,Deserunt Pro,Elektronik,15000,5,Transfer Bank,21-07-2026,Padang,5.0
TRX00458,"Bagya Farida, S.E.I",Provident,Rumah Tangga,Rp120.000,1,Transfer Bank,06/08/2026,Sorong,
TRX00356,Kajen Mustofa,Impedit Lite,Buku,15000.0,2,Kartu Kredit,08-09-2026,Kota Administrasi Jakarta Utara,
TRX00467,Ayu Prastuti,Nulla Max,BUKU  ,50000.0,3,Transfer Bank,28/06/2026,Pasuruan,4.0
TRX00116,Septi Hassanah,Non Pro,Rumah Tangga,50000.0,4,e-wallet,2026-09-11,Blitar,2.0
TRX00404,Rini Uwais,Quibusdam Basic,Elektronik,Rp25.000,2,e-wallet,10-07-2026,Blitar,2.0
TRX00014,,At Lite,Fashion,Rp25.000,2,,2026-06-23,,2.0
TRX00275,"Mursinin Riyanti, S.Pt",Error Lite,Fashion,250000,2,COD,2026-06-21,Sorong,2.0
TRX00309,,Facere Pro,BUKU  , 25000 ,4,,16-07-2026,,4.0
TRX00156,,Ab Max,Olahraga,Rp250.000,2,,27/06/2026,,1.0
TRX00337,Tania Prasasta,Iste Basic,Elektronik, 120000 ,5,COD,27-08-2026,Samarinda,3.0
TRX00498,"dr. Lintang Situmorang, M.Pd",Vero Basic,FASHION  ,120000,2,kartu kredit,09/08/2026,,5.0
TRX00133,Mila Sihotang,Culpa Max,Elektronik,15000.0,5,Kartu Kredit,15-09-2026,,4.0
TRX00376,"Bagas Novitasari, S.H.",Consequuntur Basic,OLAHRAGA  ,50000,4,E-Wallet,24-07-2026,Sungai Penuh,1.0
TRX00260,Eman Andriani,Eveniet Lite,Olahraga,75000,4,E-Wallet,2026-08-31,Payakumbuh,1.0
TRX00269,Yunita Lailasari,Necessitatibus Max,Olahraga,Rp75.000,4,COD,18/07/2026,Pekalongan,3.0
TRX00279,Drs. Azalea Lazuardi,Nihil Lite,Buku,15000,4,E-Wallet,08-08-2026,Palopo,2.0
TRX00497,Ajiman Mangunsong,Eos Max,Fashion,Rp75.000,1,COD,30-06-2026,Manado,5.0
TRX00302,"Dr. Sabri Maryadi, S.H.",Aperiam Max,Olahraga,75000,4,COD,09-09-2026,Medan,5.0
TRX00147,Puti Fathonah Kuswoyo,Nihil Max,Kesehatan,1200000,3,Transfer Bank,01/08/2026,Cirebon,3.0
TRX00026,Warta Utama,Sint Pro,RUMAH TANGGA  ,250000,1,E-Wallet,20/06/2026,Singkawang,
TRX00485,Puti Dinda Sihombing,Inventore Pro,RUMAH TANGGA  , 25000 ,4,E-Wallet,2026-07-10,Batu,2.0
TRX00314,Wakiman Napitupulu,Veritatis Max,OLAHRAGA  ,250000,5,e-wallet,2026-08-24,Tual,4.0
TRX00247,Gadang Wacana,Qui Lite,Rumah Tangga, 25000 ,1,Transfer Bank,13-09-2026,Pangkalpinang,5.0
TRX00347,"Tgk. Gandi Wacana, S.H.",Iusto Lite,RUMAH TANGGA  ,50000,3,E-Wallet,2026-08-21,Padang,3.0
TRX00223,Indra Yuliarti,Alias,Buku,75000.0,5,transfer bank,2026-07-21,Kota Administrasi Jakarta Selatan,4.0
TRX00419,Hamzah Wijaya,Sint Basic,Rumah Tangga,250000,1,Transfer Bank,31-08-2026,Pontianak,
TRX00052,Mila Melani,Quibusdam Lite,Kesehatan,50000.0,1,Transfer Bank,29/08/2026,Tanjungpinang,2.0
TRX00259,"Gabriella Nuraini, S.Pt",Nulla,Elektronik,Rp15.000,2,COD,17/08/2026,Sabang,5.0
TRX00428,"Chandra Rahimah, M.M.",Necessitatibus Max,Olahraga, 1200000 ,5,COD,2026-08-31,Tanjungbalai,4.0
TRX00041,Lantar Hastuti,Ullam Max,Elektronik,Rp50.000,3,COD,01/07/2026,Surabaya,5.0
TRX00090,R. Julia Rajasa,Totam Basic,ELEKTRONIK  ,120000.0,4,kartu kredit,23/08/2026,Solok,3.0
TRX00207,Tari Pradipta,Rem Pro,Elektronik, 250000 ,4,Kartu Kredit,2026-09-05,Mojokerto,1.0
TRX00240,Victoria Anggriawan,Molestias Basic,Olahraga,Rp120.000,3,Transfer Bank,31-08-2026,Bandung,4.0
TRX00483,Hesti Prakasa,Laudantium Basic,Kesehatan,75000.0,4,transfer bank,2026-07-01,Ambon,3.0
TRX00239,Luthfi Wasita,Quas,Olahraga, 120000 ,1,E-Wallet,17-08-2026,Sungai Penuh,3.0
TRX00461,,Animi Max,Rumah Tangga,Rp500.000,1,,2026-06-19,,4.0
TRX00311,Gilda Prasetya,Doloribus,Fashion,1200000,3,E-Wallet,21-06-2026,Manado,5.0
TRX00004,"Lutfan Padmasari, S.Gz",Repellat Lite,Kesehatan,500000,2,COD,09-08-2026,Jayapura,1.0
TRX00180,Irma Marbun,Vitae Basic,Fashion, 15000 ,2,E-Wallet,27-08-2026,,3.0
TRX00249,"Kanda Prasetyo, S.E.I",Libero Max,Kesehatan, 500000 ,5,cod,16-08-2026,Pangkalpinang,4.0
TRX00293,Silvia Waluyo,Sed,Kesehatan,15000,3,COD,26-08-2026,Palopo,
TRX00066,Hasna Oktaviani,Delectus Basic,Rumah Tangga, 120000 ,2,Kartu Kredit,21/06/2026,Binjai,1.0
TRX00139,"Hendra Prayoga, S.Sos",Animi Pro,Olahraga,15000.0,2,E-Wallet,2026-07-21,Batam,3.0
TRX00437,Fitria Uyainah,Qui Max,Olahraga,75000.0,2,COD,2026-09-02,Bima,
TRX00304,Padma Sudiati,Adipisci Basic,Buku,50000.0,3,Transfer Bank,26-06-2026,Salatiga,
TRX00114,Jamil Setiawan,Repellat Lite,Kesehatan, 50000 ,1,Transfer Bank,13/09/2026,Tangerang Selatan,1.0
TRX00469,"Harjasa Megantara, M.Farm",Explicabo Lite,Olahraga,250000,3,COD,2026-08-05,Palembang,1.0
TRX00169,"Raina Marpaung, S.H.",Sit Lite,Kesehatan,500000.0,4,E-Wallet,24-07-2026,Parepare,
TRX00102,Usyi Saefullah,Architecto Basic,Fashion,Rp50.000,2,COD,2026-07-13,Surabaya,3.0
TRX00373,Asirwada Rajasa,Recusandae Pro,Buku, 75000 ,2,Transfer Bank,06-09-2026,Prabumulih,3.0
TRX00214,"Damu Sihombing, S.Psi",Labore Pro,Buku,25000.0,4,E-Wallet,26/07/2026,Malang,2.0
TRX00406,"Nasim Purnawati, S.E.I",Ipsa Pro,Olahraga,25000,2,kartu kredit,19/06/2026,Tanjungbalai,3.0
TRX00014,,At Lite,Fashion,Rp25.000,2,,2026-06-23,,2.0
TRX00461,,Animi Max,Rumah Tangga,Rp500.000,1,,2026-06-19,,4.0
TRX00338,"Dt. Erik Kurniawan, M.Kom.",Occaecati Lite,Kesehatan, 15000 ,5,cod,2026-08-03,Banda Aceh,4.0
TRX00452,"Alambana Nainggolan, S.H.",Veritatis Pro,Elektronik,25000,4,Transfer Bank,2026-08-23,Bontang,5.0
TRX00194,Ihsan Kuswoyo,At Lite,RUMAH TANGGA  ,15000.0,3,Kartu Kredit,14-08-2026,Padang,
TRX00061,"Sutan Taufik Jailani, S.Pt",Fuga,FASHION  ,15000,4,COD,12/07/2026,Kota Administrasi Jakarta Timur,2.0
TRX00417,Rafid Yolanda,Illo Max,BUKU  , 250000 ,1,COD,2026-09-07,Kota Administrasi Jakarta Barat,5.0
TRX00315,"Bala Halimah, S.Psi",Minima Pro,Olahraga,1200000,1,transfer bank,11/07/2026,Medan,2.0
TRX00119,Karman Zulaika,Corrupti Pro,Olahraga,Rp1.200.000,4,Kartu Kredit,10/09/2026,Bau-Bau,4.0
TRX00370,Agnes Mandasari,Modi Lite,OLAHRAGA  ,75000.0,5,E-Wallet,2026-07-27,Prabumulih,
TRX00426,"Gara Salahudin, S.E.I",Voluptatum Basic,Elektronik, 120000 ,3,Kartu Kredit,30/06/2026,Magelang,1.0
TRX00110,Jabal Sitorus,Odio Max,Buku, 250000 ,4,COD,2026-07-26,Kota Administrasi Jakarta Barat,4.0
TRX00348,"Drs. Anastasia Simbolon, M.TI.",Dignissimos Lite,Olahraga,Rp250.000,1,kartu kredit,12/09/2026,Kota Administrasi Jakarta Barat,
TRX00450,"Shania Sitompul, M.Ak",Unde Lite,Kesehatan,Rp120.000,1,COD,14-07-2026,Medan,4.0
TRX00362,Gasti Sihombing,Aspernatur Lite,Buku,1200000,2,Kartu Kredit,26/08/2026,Purwokerto,4.0
TRX00091,R. Amalia Laksmiwati,Assumenda Pro,Kesehatan,Rp500.000,1,COD,31/07/2026,Tanjungbalai,
TRX00156,,Ab Max,Olahraga,Rp250.000,2,,27/06/2026,,1.0
TRX00264,Cemeti Uyainah,Magni,Elektronik,Rp1.200.000,1,e-wallet,2026-08-14,Banda Aceh,
TRX00307,"Cut Jessica Pangestu, S.E.",Minus Pro,Fashion,Rp120.000,4,kartu kredit,25-06-2026,Bandung,1.0
TRX00031,T. Margana Iswahyudi,Voluptatem Max,RUMAH TANGGA  ,Rp500.000,5,E-Wallet,02-09-2026,Cimahi,4.0
TRX00023,"Hj. Wirda Purwanti, S.Sos",Nam Lite,FASHION  ,Rp500.000,2,Kartu Kredit,23-07-2026,Pariaman,1.0
TRX00306,Warsita Hassanah,Rerum Basic,Kesehatan,Rp25.000,2,transfer bank,2026-08-30,Kota Administrasi Jakarta Pusat,
TRX00032,Vera Prasetyo,Quibusdam Lite,OLAHRAGA  ,Rp15.000,2,Kartu Kredit,2026-08-05,Subulussalam,1.0
TRX00238,"dr. Nasab Usamah, S.E.",Explicabo Pro,RUMAH TANGGA  ,75000.0,1,COD,2026-09-02,Palu,1.0
TRX00327,Asmianto Sihombing,Dicta,Olahraga,Rp250.000,1,Transfer Bank,14-09-2026,Palembang,3.0
TRX00053,T. Virman Purwanti,Eligendi Lite,OLAHRAGA  ,15000.0,1,E-Wallet,2026-09-01,Padangpanjang,1.0
TRX00491,Rusman Permata,Laboriosam,Buku,Rp75.000,4,cod,21-08-2026,Depok,3.0
TRX00165,"R.M. Cager Budiman, S.Gz",Quod Max,Olahraga, 250000 ,4,E-Wallet,2026-06-30,Bekasi,1.0
TRX00217,Tiara Hardiansyah,Quidem Pro,Kesehatan,1200000,4,Transfer Bank,2026-08-07,Samarinda,2.0
TRX00163,"Tgk. Margana Napitupulu, S.Sos",Necessitatibus Basic,Rumah Tangga,25000.0,1,e-wallet,06-07-2026,Palangkaraya,2.0
TRX00366,Okta Kusmawati,Fugiat,Kesehatan,500000,3,e-wallet,27-08-2026,Padang Sidempuan,5.0
TRX00057,"Cinta Widodo, M.Kom.",Dolorem Basic,Olahraga,Rp15.000,1,cod,15/09/2026,Cilegon,
TRX00471,"Dt. Bahuraksa Najmudin, M.Ak",Tenetur Pro,Buku,75000,4,e-wallet,18-08-2026,Parepare,1.0
TRX00003,Bakijan Puspasari,Nisi,Elektronik,75000,5,kartu kredit,23-06-2026,Jayapura,5.0
TRX00059,Najam Utama,Ad Lite,Buku, 75000 ,2,kartu kredit,18/07/2026,Palembang,3.0
TRX00372,"dr. Janet Sudiati, S.H.",Itaque Basic,Rumah Tangga,1200000,2,Kartu Kredit,06/07/2026,Balikpapan,
TRX00241,Puji Pratama,Dolorem,Buku,Rp75.000,4,COD,21-08-2026,Pematangsiantar,5.0
TRX00268,Jasmin Anggraini,Explicabo,Kesehatan, 25000 ,3,Kartu Kredit,06/08/2026,Kupang,4.0
TRX00500,Prayoga Yuliarti,Ipsa Basic,Kesehatan,75000.0,2,kartu kredit,15-08-2026,Sabang,
TRX00075,Mustofa Sihombing,Aperiam Lite,Kesehatan,Rp120.000,5,Kartu Kredit,2026-07-29,Kota Administrasi Jakarta Timur,2.0
TRX00331,"Nilam Saefullah, S.E.",Enim Pro,Olahraga,250000,2,COD,2026-06-30,Sawahlunto,
TRX00477,"Cakrabirawa Saputra, S.Sos",Fugit Pro,Rumah Tangga,Rp250.000,3,Kartu Kredit,2026-06-23,Manado,
TRX00422,"Sutan Artawan Purwanti, S.T.",Doloribus,Elektronik, 500000 ,5,Transfer Bank,06-08-2026,Probolinggo,4.0
TRX00278,Imam Firmansyah,Ipsum Basic,ELEKTRONIK  , 1200000 ,2,transfer bank,19/06/2026,Payakumbuh,5.0
TRX00081,Drs. Zulaikha Mangunsong,Unde Max,Olahraga,500000,1,COD,2026-09-06,Tual,4.0
TRX00243,Manah Uwais,Quasi Basic,Elektronik,Rp250.000,2,COD,18/07/2026,Gorontalo,2.0
TRX00027,Eka Usada,Explicabo Max,ELEKTRONIK  , 500000 ,4,Transfer Bank,11-09-2026,Parepare,2.0
TRX00203,Emas Usada,Quod Max,Kesehatan,Rp250.000,4,Transfer Bank,2026-08-18,Kupang,
TRX00213,"Hj. Clara Usamah, S.Pd",Perferendis Pro,Fashion,75000.0,1,E-Wallet,26-06-2026,Tomohon,4.0
TRX00282,Irsad Ardianto,Accusamus Pro,Olahraga,15000,2,cod,2026-08-18,Bekasi,
TRX00354,Carla Samosir,Laborum Max,Elektronik, 250000 ,1,COD,15-08-2026,Banjarmasin,
TRX00365,Salsabila Thamrin,Deserunt Lite,Olahraga,Rp50.000,1,Kartu Kredit,17/08/2026,Pematangsiantar,3.0
TRX00146,Dr. Gamani Marpaung,Nobis Max,KESEHATAN  ,500000,3,COD,05/09/2026,Kota Administrasi Jakarta Selatan,
TRX00421,Murti Putra,Nobis Lite,Fashion,Rp15.000,4,COD,17-08-2026,Pasuruan,
TRX00109,"Caraka Hutagalung, S.Kom",Provident Pro,Buku,50000.0,4,COD,07/09/2026,Purwokerto,1.0
TRX00051,Ilyas Simbolon,Similique Basic,Elektronik,120000.0,3,cod,13-09-2026,Tanjungbalai,3.0
TRX00436,Pangeran Dabukke,Alias Basic,Kesehatan,50000.0,4,Transfer Bank,26-08-2026,Kupang,5.0
TRX00301,Cemeti Siregar,Magni Pro,Rumah Tangga,Rp15.000,2,cod,09/08/2026,Padang,
TRX00015,Hj. Yuni Hassanah,Id Max,Kesehatan, 15000 ,2,COD,21-08-2026,Banda Aceh,2.0
TRX00465,Aurora Suartini,Libero,Fashion, 500000 ,4,E-Wallet,26-06-2026,Sibolga,
TRX00391,Cut Maida Habibi,Sit Lite,Rumah Tangga,120000,3,E-Wallet,2026-07-09,Banjar,
TRX00115,Dr. Lasmono Pratama,Consectetur,BUKU  , 50000 ,2,E-Wallet,12-07-2026,Meulaboh,2.0
TRX00244,"Cengkal Wijaya, M.TI.",Cupiditate Max,ELEKTRONIK  ,15000,2,COD,22-08-2026,Subulussalam,4.0
TRX00060,"Anita Winarno, S.Psi",Quas Pro,Olahraga,Rp75.000,1,COD,13/08/2026,Binjai,5.0
TRX00174,Irwan Wibisono,Unde Lite,FASHION  ,Rp1.200.000,3,Kartu Kredit,2026-07-21,Cirebon,
TRX00099,Keisha Sihotang,Cumque,Kesehatan,50000,4,COD,2026-09-01,Madiun,4.0
TRX00160,Cinthia Widodo,Ut Pro,Buku, 75000 ,4,E-Wallet,2026-08-06,Sungai Penuh,4.0
TRX00250,,Totam Basic,Rumah Tangga,120000.0,2,,2026-06-29,,1.0
